id,mode,input_text,surface_meaning,hidden_meaning,emotion_label,emotion_intensity,translation,advice_style1,advice_text1,advice_style2,advice_text2,advice_style3,advice_text3,advice_style4,advice_text4,confidence,risk_flags,context_keywords
1,여자어,괜찮아,문제없다고 표현,실제로는 화나고 서운함 (역설표현),분노,4,괜찮지 않아 와서 달래줘,적극대응형,괜찮지 않은 것 같은데? 내가 뭘 잘못했는지 말해줘,공감접근형,괜찮다고 하지만 표정이 안 괜찮아 보여. 옆에 있어도 될까?,직접행동형,괜찮다는 말 믿을 수 없어. 지금 바로 만나자,유머완화형,괜찮다는 여자는 괜찮지 않다는 법칙 발동! 뭐가 속상해? 😅,95,"감정숨김,관심요구",갈등상황
2,여자어,아니야 괜찮다고,강하게 괜찮다고 부정,더욱 화나고 관심받고 싶음 (강화된 역설),분노,5,전혀 괜찮지 않아! 더 신경써줘!,즉시대응형,괜찮지 않은 게 너무 티 나. 지금 당장 얘기하자,진심표현형,괜찮다고 하는데 왜 이렇게 마음이 아프지? 솔직히 말해줘,물리적접근형,말로는 괜찮다 하니까 직접 보러 갈게. 어디 있어?,끈질한관심형,괜찮다고 100번 말해도 안 믿어. 네가 웃을 때까지 계속 물어볼 거야,96,"감정폭발,즉시관심필요",강한갈등
3,여자어,괜찮아 혼자 있고 싶어,혼자 있고 싶다고 함,실제로는 와주길 바라는 마음 (반대요청),서운함,4,혼자 두지 말고 와서 위로해줘,반대실행형,혼자 있고 싶다는 말 무시하고 바로 찾아갈게,부드러운침투형,혼자 있고 싶겠지만 그래도 옆에만 있을게 말 안 걸어도 돼,지속관심형,혼자 있고 싶다니까 30분마다 안부 문자 보낼게 😊,직관적대응형,혼자 있고 싶은 사람은 이렇게 말 안 해. 뭐 먹고 싶어?,93,역설요청,혼자두기요청
4,여자어,알아서 해,스스로 해결하라는 의미,화나서 관심끌기 시도 (관심유도),분노,4,알아서 하지 말고 나한테 신경써줘,적극해결형,알아서 할 게 아니라 같이 해결하자. 뭐가 문제야?,관심집중형,알아서 하기보다는 네 의견이 궁금해. 어떻게 생각해?,화해시도형,알아서 하라니까 화난 거 같은데 내가 뭘 잘못했어?,끈질한대화형,알아서 하는 건 나중에 하고 지금은 너랑 얘기하고 싶어,89,관심요구,의사결정
5,여자어,네가 알아서 판단해,판단을 맡긴다는 표현,실제로는 자신의 의견 반영 기대 (배려요구),서운함,3,내 마음을 헤아려서 판단해줘,마음읽기형,알아서 판단하기보다는 네 마음이 궁금해. 진짜 원하는 게 뭐야?,공동결정형,혼자 판단하기 어려워. 같이 생각해보자,배려확인형,내가 판단해도 되지만 네가 원하는 방향으로 하고 싶어,솔직요청형,알아서 판단하라는 건 힌트 달라는 뜻이지? 솔직히 말해줘,85,배려기대,선택위임
6,여자어,나는 신경쓰지마,신경쓰지 말라고 함,더 신경써달라는 역설적 요청 (관심갈구),서운함,4,나한테 더 신경써줘,반대행동형,신경 안 쓸 수가 없어. 너한테 관심 많거든,지속관심형,신경 쓰지 말라고? 더 신경 쓸 거야. 뭐가 속상해?,솔직대응형,신경쓰지 말라는 사람한테 왜 더 신경 쓰이지? 무슨 일이야?,유머적접근형,신경 안 쓰기 도전 실패! 계속 생각나는데 어떡해? 😂,92,역설요청,관심거부
7,여자어,바쁘면 신경쓰지마,바쁠 때는 관심두지 말라는 배려,바빠도 신경써주길 바라는 마음 (우선순위확인),아쉬움,3,바빠도 나를 우선순위로 생각해줘,우선순위표현형,바빠도 너한테는 시간 있어. 무슨 일인지 말해줘,시간확보형,바쁜 건 핑계고 너한테 신경 안 쓸 이유는 없어,배려거절형,바쁘다고 신경 안 쓰면 안 돼. 네가 더 중요해,구체적약속형,지금 바빠도 30분 뒤에는 자유야. 그때 전화할게,88,우선순위테스트,시간배려
8,여자어,됐어 그냥 잊어,잊어버리자는 제안,잊지 말고 기억해달라는 역설적 요청 (기억요구),서운함,4,잊지 말고 계속 신경써줘,기억강조형,잊을 수 없어. 이런 건 기억해야 하는 거야,지속관심형,그냥 잊기에는 너무 중요한 일인 것 같은데?,솔직대화형,잊어버리기보다는 제대로 얘기해보자. 뭐가 속상했어?,반대실행형,잊으라고? 오히려 더 기억해둘게. 앞으로 조심할게,87,역설요청,기억포기
9,여자어,괜찮아 혼자 할게,혼자서 처리하겠다는 의지,도움과 관심을 바라는 마음 (도움요청),서운함,3,혼자 하지 말고 같이 해줘,적극참여형,혼자 하지 마 내가 도와줄게. 뭐부터 시작할까?,강제동참형,혼자 할 거면 나도 옆에서 혼자 할게. 같이 혼자 하자,부담덜기형,혼자 하기 힘든 일이잖아. 나랑 같이 하면 더 쉬울 텐데,관계강조형,혼자 하는 건 서운해. 우리 사이에 뭘 혼자 해?,89,도움거절,독립선언
10,여자어,상관없어,관심없다는 표현,실제로는 매우 신경쓰이는 상황 (관심위장),분노,3,상관있어 신경써줘,진심파악형,상관없다는 말투가 상관있어 보이는데? 솔직히 말해줘,관심표현형,너한테는 상관없어도 나한테는 상관있어. 어떻게 생각해?,반대추측형,상관없다고? 표정 보니까 엄청 상관있는 것 같은데 😏,지속질문형,상관없다고 하니까 더 궁금해져. 정말 괜찮은 거야?,85,감정위장,무관심표현
11,여자어,그냥,특별한 이유가 없다는 표현,말하기 어려운 이유가 있음 (이유회피),답답함,3,이유가 있는데 말하기 복잡해,끈질한추궁형,그냥이라는 건 없어. 천천히 말해봐 시간 많아,편안한분위기형,그냥이라고 하는 건 뭔가 있다는 뜻이지? 편하게 말해,추측접근형,그냥이라니까 더 궁금해. 혹시 내가 뭘 잘못했어?,인내심표현형,그냥이어도 괜찮아. 말하고 싶을 때까지 기다릴게,82,소통회피,이유생략
12,여자어,그냥 그런 거야,특별한 의미 없다고 표현,복잡한 감정을 간단히 표현한 것 (감정압축),혼란,4,복잡한 감정이 있는데 설명하기 어려워,감정탐색형,그런 거라고? 뭔가 복잡한 감정이 있는 것 같은데,시간주기형,그런 거면 그런 거고 정리되면 얘기해줘,공감접근형,그런 게 있지. 나도 가끔 설명 못할 감정 있어,구체적질문형,그런 거 중에 제일 큰 게 뭐야? 하나만 말해봐,79,감정복잡,감정정리
13,여자어,어차피 넌 안 들어줄 거잖아,체념하며 불평하는 표현,들어달라는 강한 요청 (관심요구),서운함,4,제발 내 말 들어줘,즉시반박형,무슨 소리야 네 말은 항상 들어줘. 뭔데 말해봐,진심표현형,안 들어준다고? 네 말이 제일 중요한데. 말해줘,과거반성형,그동안 안 들어준 것 같아서 미안해. 지금은 집중할게,적극청취형,어차피라니! 지금부터 끝까지 다 들어줄 테니까 말해,93,관심갈구,포기표현
14,여자어,어차피 나는 중요하지 않으니까,자신의 중요도를 낮게 평가,중요하다고 확인받고 싶음 (존재확인),불안,5,내가 중요하다고 말해줘,강력부정형,말도 안 돼! 너는 나한테 제일 중요한 사람이야,구체적증명형,중요하지 않다고? 너 때문에 내가 얼마나 행복한지 알아?,행동증명형,중요하지 않은 사람한테 이렇게 시간 쓰겠어? 말도 안 돼,미래약속형,중요하지 않다는 생각 버려. 앞으로 더 중요하게 생각할게,94,"자존감저하,존재불안",가치의심
15,여자어,생각해볼게,고려하겠다는 의미,부드러운 거절 또는 시간 끌기 (회피전략),망설임,3,사실 별로 내키지 않지만 직접 거절하기 어려워,압박완화형,천천히 생각해도 돼. 부담 갖지 말고,대안제시형,다른 방법도 있으니까 편한 대로 해,솔직유도형,솔직하게 말해도 괜찮아. 무리하지 마,이해표현형,고민되는 게 있으면 얘기해줘,84,거절암시,시간지연
16,여자어,다음에 할게,나중으로 미루겠다는 표현,지금은 하고 싶지 않다는 거절 (시간회피),부담,3,지금은 정말 하기 싫어,이해수용형,알겠어 네가 하고 싶을 때 하자,부담해소형,괜찮아 급한 게 아니니까 천천히,관심지속형,다음에 꼭 하자. 잊지 않을게,배려표현형,지금 바쁘구나. 시간 날 때 편하게,86,회피패턴,미루기
17,여자어,별로 안 중요해,중요하지 않다고 표현,실제로는 매우 중요하지만 실망하기 싫어함 (기대절하),불안,4,정말 중요한데 너무 기대하면 상처받을까봐 미리 방어하고 있어,진심파악형,중요하지 않은 것 같지 않은데? 솔직히 말해줘,중요성인정형,나한테는 중요해. 네가 신경쓰는 일이니까,지지표현형,중요한 일이면 같이 생각해보자,안전감제공형,중요하다고 말해도 괜찮아. 나는 이해해,88,방어기제,중요도축소
18,여자어,나랑 친구 중에 누가 더 예뻐?,외모 비교 질문,자신감 확인과 애정 테스트 (충성도확인),불안,4,나를 선택해줘 나를 제일로 생각한다고 말해줘,확신주기형,비교 자체가 말이 안 돼. 너는 유일해,위험회피형,둘 다 각자 매력이 있지만 내 마음은 정해져 있어,애정표현형,친구든 누구든 너만큼 예쁜 사람은 없어,질문돌리기형,왜 이런 질문해? 네가 제일인 거 모르나? 😊,92,"함정질문,질투테스트",비교유도
19,여자어,다른 여자가 예쁘다고 생각해도 말해도 돼,허용한다는 관대한 표현,절대 말하면 안 된다는 경고 (역설적금지),불안,5,절대 다른 여자 예쁘다고 하지 마,안전대답형,다른 여자는 관심 없어. 너만 보여,함정인식형,말해도 된다고? 그런 함정에 안 걸려 😏,애정확신형,예쁜 사람 많지만 너 같은 사람은 없어,질문반박형,왜 이런 질문해? 네가 최고인데 다른 사람이 왜 필요해?,96,"함정질문,역설적허용",허용함정
20,여자어,전 여친이랑 나랑 뭐가 달라?,차이점을 묻는 질문,자신이 더 낫다는 확신 요구 (우월성확인),질투,5,내가 전 여친보다 모든 면에서 낫다고 말해줘,과거차단형,비교할 수 없어. 너는 완전히 다른 차원이야,현재집중형,과거는 과거고 지금 내 옆에 있는 건 너야,유일성강조형,비교 자체가 의미 없어. 너는 대체 불가능해,질문돌리기형,왜 과거 얘기를? 지금이 제일 행복한데,94,"과거비교,질투표현",과거비교
21,여자어,요즘 나한테 관심 없는 것 같아,관심 부족에 대한 지적,애정 확인과 관심 요구 (관심갈구),서운함,4,나에게 더 관심 가져줘,즉시부정형,관심 없긴! 너 생각 안 하는 날이 어딨어 😤,관심표현형,미안해 바빠서 그랬어. 너한테 관심 많아,위로공감형,그렇게 느꼈구나. 앞으로 더 신경 쓸게,행동개선형,관심 부족했다면 앞으로 더 표현할게,88,없음,관심요구
22,여자어,나 없어도 잘 지낼 것 같아,독립성에 대한 언급,필요성 확인 요구 (존재확인),불안,5,내가 너에게 필요하다고 말해줘,강력거부형,말도 안 돼 너 없으면 진짜 안 되는데,구체적증명형,너 없으면 밥도 맛없어 😭 하루도 못 살아,일상증명형,하루도 너 생각 안 하는 날이 없는데 무슨 소리야,미래약속형,없어도 된다는 생각 버려. 평생 함께 할 거야,90,"자존감저하,존재불안",존재가치
23,여자어,오늘 뭐 먹지?,음식 선택에 대한 질문,선택 위임과 배려 기대 (선택위임),기대,3,네가 맛있는 걸 골라줘,배려제시형,네가 먹고 싶은 거 있어? 내가 맞춰줄게,특별제안형,오늘은 내가 특별한 곳 알아봤어 😋,공동선택형,고민 말고 둘 다 좋아하는 걸로 가자,관심표현형,뭐 먹고 싶은 기분이야? 내가 골라줄게,82,없음,음식선택
24,여자어,아무거나 괜찮아,선택에 무관심함을 표현,배려받고 싶음 (선택기대),기대,3,내 취향 고려해서 골라줘,관심표현형,그래도 네가 좋아하는 걸로 하자,재치반응형,아무거나는 없어! 내가 고르는 거 믿어? 😏,위로공감형,알겠어 맛있는 걸로 정할게,배려표현형,네 취향 고려해서 골라줄게,84,없음,선택위임
25,여자어,재밌게 놀아~,즐겁게 놀라고 말함,연락·확인 기대 (역설표현),서운함,3,놀아도 좋지만 중간에 안부는 원해,관심표현형,놀다 생각날 때 짧게 안부 하나만 줘 😉,재치반응형,12시 전에 '살아있음' 인증샷 받기? 📸,위로약속형,알겠어! 끝나고 바로 연락할게,배려표현형,재밌게 놀되 무리하지는 말고,84,없음,외출허용
26,여자어,연락 안 해도 돼,연락하지 말라고 함,실제로는 연락 원함 (역설표현),서운함,4,연락해줬으면 좋겠어,관심표현형,그래도 안부는 궁금하잖아 😊,재치반응형,안 해도 된다더니 왜 폰 보고 있어? 📱,위로반성형,미안해 내가 연락 못했네. 앞으로 할게,직관반응형,연락 안 해도 된다는 말은 해달라는 뜻이지?,87,없음,연락거부
27,여자어,바쁘지?,바쁜지 확인하는 질문,시간 내달라는 요청 (시간요청),아쉬움,3,시간 좀 내줘,관심표현형,조금 바쁘긴 한데 너랑은 시간 낼 수 있어,재치반응형,너한테는 안 바빠! 뭐 하고 싶어? 😄,위로표현형,바빠도 너 시간은 따로 있어,우선순위형,바쁜 건 핑계고 너가 더 중요해,85,없음,시간확인
28,여자어,여자 친구들이랑 재밌었겠다,친구들과의 시간을 언급,질투와 서운함 표현 (질투암시),질투,4,다른 여자들보다 나를 더 생각해줘,위로표현형,재밌긴 했지만 너 생각 많이 났어,관심확신형,너랑 있을 때가 제일 재밌는데 뭔 소리야,재치반응형,질투하는 거야? 귀엽네 😏,애정표현형,여자 친구들보다 네가 훨씬 재밌어,89,질투표현,친구만남
29,여자어,그 사람 예쁘더라,타인의 외모에 대한 평가,자신과 비교 및 확신 요구 (비교확인),불안,4,나랑 비교해서 누가 더 예뻐?,위로표현형,예쁘긴 하지만 너만큼은 아니야,관심확신형,내 눈에는 네가 제일 예뻐 보이는데?,재치회피형,어디서 봤는데? 나는 못 봤네 👀,애정확신형,예쁜 사람 많지만 너 같은 사람은 없어,86,없음,외모비교
30,여자어,이거 살까 말까?,구매 결정에 대한 조언 요청,결정 지지와 격려 원함 (결정지지),고민,3,사라고 말해줘,관심표현형,마음에 든다면 사는 게 어때?,재치반응형,고민할 정도면 이미 마음 정한 거 아니야? 😏,위로격려형,후회 안 할 것 같으면 질러!,배려표현형,네가 원하는 걸로 해 내가 응원할게,81,없음,구매결정
31,여자어,나 요리 잘하지?,요리 실력에 대한 질문,칭찬과 인정 욕구 (칭찬요구),기대,4,요리 잘한다고 칭찬해줘,관심표현형,완전 잘해! 맛있어서 깜짝 놀랐어 😋,재치반응형,레스토랑 차려도 될 것 같은데? 👨‍🍳,위로칭찬형,진짜 맛있어 어떻게 이렇게 잘해?,격려표현형,요리 실력이 늘었네! 다음에도 부탁해,90,없음,칭찬요구
32,여자어,글쎄 모르겠어,확실하지 않다는 표현,부드러운 거절 (거절암시),망설임,3,별로 내키지 않아,위로표현형,무리하지 말고 하고 싶을 때 하자,관심표현형,뭐가 걱정돼? 말해줘,재치반응형,그럼 다른 거 해볼까? 🤔,이해표현형,확실하지 않으면 천천히 생각해봐,78,거절신호,애매한거절
33,여자어,피곤해,피로감을 표현,휴식과 위로 필요 (위로요청),피곤함,4,쉬고 싶어 돌봐줘,위로표현형,많이 힘들었구나 좀 쉬어,관심표현형,내가 마사지해줄까? 어깨 아프지?,재치배려형,오늘은 내가 다 할게 넌 쉬어 😴,격려표현형,고생했어 푹 쉬고 내일 힘내자,85,없음,피로표현
34,여자어,됐어 안 해,포기하겠다는 표현,화남과 서운함 표현 (화남암시),분노,4,화났어 달래줘,위로사과형,미안해 내가 잘못했어. 화 풀어,관심표현형,뭐가 속상했어? 말해줘,재치반응형,화났구나 😅 내가 어떻게 할까?,적극해결형,화난 이유 알려줘 같이 해결하자,88,감정폭발,포기선언
35,여자어,나 머리 묶은 게 나아? 푼 게 나아?,머리 스타일 선호를 묻는 질문,칭찬/확인 욕구 (선택요구),호감,3,내가 예뻐 보이는지 확인받고 싶어,관심표현형,둘 다 예쁜데 오늘은 묶은 게 상큼해 보여 😊 특별한 날이야?,위로공감형,너는 어떤 스타일이든 잘 어울려. 네가 편한 걸로 하는 게 최고야,재치반응형,위험한 질문이네 😂 둘 다 예쁘지만 오늘 기분은 어때? 기분에 맞춰 정하자!,구체적행동형,묶으면 목선이 예쁘게 보이고 풀면 부드러워 보여. 오늘 입은 옷이랑 맞춰볼까?,87,없음,외모확인
36,여자어,이 옷 어때?,옷에 대한 의견 요청,외모 칭찬과 관심 갈구 (확인요구),기대,4,예쁘다고 말해줘,관심표현형,완전 예뻐! 색깔이 너한테 잘 어울려 ✨ 어디서 샀어?,재치반응형,어디 가는데? 옷발 받네 😍 오늘은 특별한 날이야?,위로공감형,너 센스 좋은 거 알잖아~ 이 옷 정말 너한테 딱이야!,구체적행동형,이 색깔이 너 피부톤이랑 완전 어울려. 다음에 같이 쇼핑할까?,89,없음,옷차림
37,여자어,살 좀 쪘나?,체중 증가에 대한 질문,위로와 부정적 답변 기대 (안전확인),불안,4,아니라고 말해줘,위로공감형,전혀! 건강해 보여서 좋은데?,재치반응형,어디가? 나는 못 보겠는데 👀,관심표현형,너 원래 몸매 좋잖아 뭔 소리야,격려표현형,살 쪘다고? 오히려 더 건강해 보여,92,없음,체중걱정
38,여자어,그냥 들어줘. 답 안 해도 돼,답을 요구하지 않음,조언보다 공감 원함 (공감요구),답답함,4,해결책 말고 내 감정을 먼저 들어줘,위로공감형,그랬구나 오늘은 네 얘기만 들을게,관심표현형,지금 뭐가 제일 마음에 남았어? 천천히 말해줘,재치반응형,오케이 상담모드 ON. 말할 때까지 조용히 듣기 🤫,이해표현형,답할 필요 없으니까 편하게 말해,88,조언금지,감정토로
39,여자어,오늘 진짜 힘들었어,하루가 힘들었다는 표현,위로와 공감 필요 (감정지지),피곤함,4,나를 다독여줘,위로공감형,많이 힘들었구나 고생했어 😞,관심표현형,뭐가 제일 힘들었어? 말하고 싶으면 말해,재치배려형,내가 맛있는 거라도 사줄까? 🍕,행동지원형,힘들었으면 오늘은 내가 다 할게 쉬어,85,없음,힘든하루
40,여자어,요즘 시큰둥하지 않아?,관심 부족을 지적,더 많은 관심과 애정 표현 요구 (관심갈구),서운함,4,예전처럼 나한테 열정적으로 대해줘,즉시부정형,시큰둥하긴! 너한테 늘 관심 많아,행동개선형,그렇게 느꼈다면 미안해. 앞으로 더 표현할게,애정재확인형,시큰둥할 리 없잖아. 너 없으면 안 되는데,구체적계획형,요즘 바빠서 그랬나? 주말에 시간 내서 데이트하자,89,관심부족호소,관심감소
41,여자어,나 없어도 잘 살 것 같아,독립적으로 살 수 있다는 추측,필요성과 소중함 확인 요구 (존재가치확인),불안,5,내가 너에게 꼭 필요한 존재라고 말해줘,강력거부형,말도 안 돼! 너 없으면 진짜 못 살아,구체적설명형,잘 살기는 무슨 너 때문에 내가 행복한 건데,일상증명형,하루도 너 생각 안 하는 날이 없는데 무슨 소리야,미래약속형,없어도 된다는 생각 버려. 평생 함께 할 거야,93,"존재불안,자존감저하",존재가치
42,여자어,나보다 좋은 사람 많을 텐데,자신보다 나은 사람이 있다는 겸손,유일무이함과 선택받음 확신 요구 (선택확신),불안,4,나만이 특별하고 유일한 사람이라고 확신시켜줘,유일성강조형,좋은 사람은 많아도 너 같은 사람은 없어,선택확신형,내가 너를 선택한 이유가 있어. 너는 특별해,비교거부형,다른 사람과 비교할 수 없어. 너는 유일해,미래확약형,더 좋은 사람이 있어도 난 너만 원해,91,자존감저하,자기비하
43,여자어,요즘 연락이 뜸해진 것 같아,연락 빈도에 대한 객관적 지적,더 자주 연락해달라는 요청 (연락증가요구),아쉬움,3,더 자주 연락했으면 좋겠어,즉시개선형,미안해 바빠서 그랬어. 앞으로 더 자주 할게,패턴개선형,맞네 앞으로 매일 안부 인사하자,관심표현형,연락 못한 사이에도 너 생각 많이 했어,약속제시형,아침저녁으로 안부 확인하는 습관 만들자,87,관심부족,연락감소
44,여자어,혼자 있는 시간이 많네,혼자 보내는 시간이 많다는 관찰,함께 시간 보내고 싶다는 은근한 요청 (동반요구),외로움,3,같이 시간 보내고 싶어,즉시제안형,그럼 같이 있자! 지금 시간 있어?,계획제시형,외롭겠네. 이번 주말에 같이 뭐 할까?,동반의지형,혼자 있지 말고 언제든 불러. 바로 간게,관심표현형,혼자 있으면 뭐 해? 재미있는 거 같이 찾아보자,85,외로움호소,혼자시간
45,여자어,다들 커플로 나가더라,주변 상황에 대한 관찰,우리도 커플 활동을 하고 싶다는 암시 (데이트요청),부러움,3,우리도 커플 데이트 하고 싶어,즉시응답형,그럼 우리도 나가자! 어디 가고 싶어?,특별계획형,커플로 나간다고? 우리가 제일 멋진 커플이 되자,동참의지형,우리도 커플 데이트 코스 찾아보자,독특함강조형,남들 따라하지 말고 우리만의 특별한 데이트 하자,88,데이트욕구,커플활동
46,여자어,화 안 났어,화나지 않았다고 부정,실제로는 화가 났지만 직접 표현하기 어려움 (감정위장),분노,4,화났어 알아서 달래줘,진실파악형,화 안 났다는 말투가 화난 것 같은데? 뭐가 속상해?,선제사과형,화 안 났다고 해도 내가 뭔가 잘못한 것 같아. 미안해,관심집중형,화 났든 안 났든 일단 얘기해보자. 뭐가 문제야?,끈질한관심형,화 안 났다니까 더 궁금해. 진짜 괜찮은 거 맞아?,91,"감정위장,화남숨김",화남부정
47,여자어,별일 아니야,대수롭지 않다고 표현,실제로는 큰 문제지만 관심받기 위해 축소표현 (관심유도),서운함,4,별일인데 관심가져줘,중요성인정형,별일 아니라고? 너한테 일어난 일은 다 중요해,관심표현형,별일 아니어도 궁금해. 무슨 일인지 말해줘,지속관심형,별일 아니라고 해도 계속 신경 쓰일 것 같은데,진심파악형,별일 아니라는 말이 별일 같다는 뜻 아니야?,86,중요도축소,문제축소
48,여자어,그냥 기분이 안 좋아,단순한 기분 나쁨 표현,구체적인 이유가 있지만 직접 말하기 어려움 (이유탐색요구),우울함,4,이유 물어보고 관심가져줘,원인탐색형,그냥 기분 나쁠 리 없어. 무슨 일 있었어?,공감접근형,기분 안 좋구나. 무엇 때문인지 얘기해줄래?,위로제공형,기분 안 좋은 날이 있지. 내가 옆에 있을게,해결의지형,기분 나쁜 이유 찾아서 같이 해결해보자,84,이유숨김,기분나쁨
49,여자어,우리 사이 어떤 것 같아?,관계 상태에 대한 질문,관계 발전과 확신 요구 (관계확인),불안,3,우리 관계가 잘 되고 있는지 확신시켜줘,긍정확신형,완전 좋아! 너와 함께여서 매일 행복해,발전의지형,지금도 좋지만 앞으로 더 좋아질 것 같아,특별강조형,우리 사이는 특별해. 이런 관계 처음이야,미래지향형,지금 완벽해. 계속 이렇게 함께 하고 싶어,89,관계불안,관계점검
50,여자어,밥 먹었어?,밥을 먹었는지 묻는 질문,상대방의 건강과 일상을 챙기려는 마음,애정,3,너를 챙기고 싶어,따뜻한답변형,응 맛있게 먹었어. 너는?,관심보답형,먹었어 나도 궁금했는데 너는 먹었어?,건강관심형,챙겨줘서 고마워. 너도 제때 챙겨 먹어,애정표현형,이렇게 챙겨주니까 더 사랑스러워,85,없음,건강관심
51,여자어,별로야,부정적인 반응,맘에 안 든다는 표현,실망,3,이거 말고 더 나은 거 없나?,직접행동형,별로라면 더 예쁜 거 찾아보자!,공감접근형,실망했구나. 어떤 점이 별로였어?,재치반응형,이거 별로라고? 그럼 내가 더 좋은 걸로 골라줄게!,관심표현형,내 눈에는 예쁜데. 혹시 다른 스타일 원해?,88,감정숨김,선택상황
52,여자어,다음에 봐,일정 미루는 표현,지금은 만나기 싫음,피곤함,2,지금은 혼자 있고 싶어,공감접근형,많이 피곤하구나. 다음에 꼭 보자,위로표현형,다음에 보자는 말에 서운하지만 이해할게,관심표현형,언제 다시 볼 수 있는지 알려줄 수 있어?,직접행동형,다음에 말고 지금 봐. 무슨 일 있어?,85,회피심리,시간배려
